neighborhood,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,attending_feeder,attending_nonfeeder,total_with_feeder_status,feeder_count_redactions,grade_level
Allegheny Center,,,,,,,,,Y,,,,,Pre-K
Allegheny West,,,,,,,,,N,,,,,Pre-K
Allentown,,,,,,,,,Y,,,,,Pre-K
Arlington,,,,,,,,,Y,,,,,Pre-K
Arlington Heights,,,,,,,,,N,,,,,Pre-K
Banksville,,,,,,,,,Y,,,,,Pre-K
Bedford Dwellings,12,,,,,,,12,N,,,,,Pre-K
Beechview,,,,13,,,19,44,Y,,,,,Pre-K
Beltzhoover,,,,,,,,,Y,,,,,Pre-K
Bloomfield,,,,,,,16,21,Y,,,,,Pre-K
Bluff,,,,,,,,,Y,,,,,Pre-K
Bon Air,,,,,,,,,Y,,,,,Pre-K
Brighton Heights,23,,,,,,,32,Y,,,,,Pre-K
Brookline,,,,,,,37,57,Y,,,,,Pre-K
California-Kirkbride,,,,,,,,,Y,,,,,Pre-K
Carrick,24,,12,,,,20,64,Y,,,,,Pre-K
Central Lawrenceville,,,,,,,,,Y,,,,,Pre-K
Central Northside,11,,,,,,,16,Y,,,,,Pre-K
Central Oakland,,,,,,,,,Y,,,,,Pre-K
Chartiers City,,,,,,,,,Y,,,,,Pre-K
Chateau,,,,,,,,,Y,,,,,Pre-K
Crafton Heights,23,,,,,,,36,Y,,,,,Pre-K
Crawford-Roberts,17,,,,,,,17,N,,,,,Pre-K
Duquesne Heights,,,,,,,,,Y,,,,,Pre-K
East Allegheny,,,,,,,,,Y,,,,,Pre-K
East Carnegie,,,,,,,,,Y,,,,,Pre-K
East Hills,42,,,,,,,44,Y,,,,,Pre-K
East Liberty,24,,,,,,,32,Y,,,,,Pre-K
Elliott,11,,,,,,,12,Y,,,,,Pre-K
Esplen,,,,,,,,,Y,,,,,Pre-K
Fairywood,,,,,,,,,Y,,,,,Pre-K
Fineview,12,,,,,,,14,Y,,,,,Pre-K
Friendship,,,,,,,,,Y,,,,,Pre-K
Garfield,22,,,,,,,33,Y,,,,,Pre-K
Glen Hazel,,,,,,,,,Y,,,,,Pre-K
Golden Triangle,,,,,,,,,Y,,,,,Pre-K
Greenfield,,,,,,,,16,Y,,,,,Pre-K
Hays,,,,,,,,,N,,,,,Pre-K
Hazelwood,,,,,,,,,Y,,,,,Pre-K
Highland Park,,,,,,,12,30,Y,,,,,Pre-K
Homewood North,34,,,,,,,36,Y,,,,,Pre-K
Homewood South,41,,,,,,,46,Y,,,,,Pre-K
Homewood West,12,,,,,,,12,N,,,,,Pre-K
Knoxville,,,,,,,,15,Y,,,,,Pre-K
Larimer,,,,,,,,12,Y,,,,,Pre-K
Lincoln Place,,,,,,,,,Y,,,,,Pre-K
Lincoln-Lemington-Belmar,24,,,,,,,28,Y,,,,,Pre-K
Lower Lawrenceville,,,,,,,,,Y,,,,,Pre-K
Manchester,,,,,,,,13,Y,,,,,Pre-K
Marshall-Shadeland,17,,,,,,,31,Y,,,,,Pre-K
Middle Hill,16,,,,,,,20,Y,,,,,Pre-K
Morningside,,,,,,,,14,Y,,,,,Pre-K
Mount Oliver,,,,,,,,,Y,,,,,Pre-K
Mount Washington,,,,,,,,,Y,,,,,Pre-K
Mt. Oliver Borough,,,,,,,,13,Y,,,,,Pre-K
NULL,,,,,,,,,N,,,,,Pre-K
New Homestead,,,,,,,,,Y,,,,,Pre-K
North Oakland,,,,,,,,,Y,,,,,Pre-K
Northview Heights,18,,,,,,,18,N,,,,,Pre-K
Oakwood,,,,,,,,,Y,,,,,Pre-K
Overbrook,,,,,,,,,Y,,,,,Pre-K
Perry North,17,,,,,,11,41,Y,,,,,Pre-K
Perry South,22,,,,,,,27,Y,,,,,Pre-K
Point Breeze,,,,,,,,11,Y,,,,,Pre-K
Point Breeze North,,,,,,,,,Y,,,,,Pre-K
Polish Hill,,,,,,,,,Y,,,,,Pre-K
Regent Square,,,,,,,,,Y,,,,,Pre-K
Ridgemont,,,,,,,,,N,,,,,Pre-K
Saint Clair,,,,,,,,,N,,,,,Pre-K
Shadyside,,,,,,,,17,Y,,,,,Pre-K
Sheraden,45,,,,,,,58,Y,,,,,Pre-K
South Oakland,,,,,,,,,Y,,,,,Pre-K
South Shore,,,,,,,,,N,,,,,Pre-K
South Side Flats,,,,,,,,,Y,,,,,Pre-K
South Side Slopes,,,,,,,,,Y,,,,,Pre-K
Spring Garden,,,,,,,,,Y,,,,,Pre-K
Spring Hill-City View,11,,,,,,,16,Y,,,,,Pre-K
Squirrel Hill North,,,,,,,,,Y,,,,,Pre-K
Squirrel Hill South,,,11,,,,,29,Y,,,,,Pre-K
Stanton Heights,14,,,,,,,25,Y,,,,,Pre-K
Strip District,,,,,,,,,N,,,,,Pre-K
Summer Hill,,,,,,,,,Y,,,,,Pre-K
Swisshelm Park,,,,,,,,,Y,,,,,Pre-K
Terrace Village,32,,,,,,,36,Y,,,,,Pre-K
Troy Hill,,,,,,,,,Y,,,,,Pre-K
Upper Hill,,,,,,,,,Y,,,,,Pre-K
Upper Lawrenceville,,,,,,,,11,Y,,,,,Pre-K
West End,,,,,,,,,Y,,,,,Pre-K
West Oakland,,,,,,,,,Y,,,,,Pre-K
Westwood,,,,,,,,26,Y,,,,,Pre-K
Wilkinsburg Borough,,,,,,,,,Y,,,,,Pre-K
Windgap,,,,,,,,12,Y,,,,,Pre-K
Allegheny Center,35,,,,,,,39,Y,28,11,39,,K-5
Allegheny West,,,,,,,,,Y,,,,Y,K-5
Allentown,87,,,,16,,27,133,Y,81,52,133,,K-5
Arlington,31,,,,,,33,74,Y,36,38,74,,K-5
Arlington Heights,18,,,,,,,21,Y,,,21,Y,K-5
Banksville,,,22,,11,,46,88,Y,72,16,88,,K-5
Bedford Dwellings,107,,,,,,,112,Y,72,40,112,,K-5
Beechview,85,,,85,40,,125,339,Y,247,92,339,,K-5
Beltzhoover,84,,,,16,,,106,Y,49,57,106,,K-5
Bloomfield,21,,,,,,84,125,Y,44,81,125,,K-5
Bluff,24,,,,,,,29,Y,12,17,29,,K-5
Bon Air,,,,,,,14,17,Y,,,17,Y,K-5
Brighton Heights,143,,,,34,,105,296,Y,163,133,296,,K-5
Brookline,78,,19,28,73,,328,526,N,359,167,526,,K-5
California-Kirkbride,46,,,,,,,55,Y,28,27,55,,K-5
Carrick,150,,73,22,83,,213,541,N,392,149,541,,K-5
Central Lawrenceville,,,,,13,,32,54,Y,22,32,54,,K-5
Central Northside,41,,,,,,28,73,Y,,,73,Y,K-5
Central Oakland,,,,,,,,,Y,,,,Y,K-5
